Count,Reference,Value,Footprint,Datasheet,Vendor,Vendor part,Supplier,Supplier part,Supplier link
1,ANT1,CONN_01X01,Wire_Pads:SolderWirePad_single_1-2mmDrill,,,,Missing,Missing,Missing
1,BT1,2.5mm jack,mysensors_connectors:dc_socket-kcswalter,http://www.mouser.com/ds/2/393/rapc712x_cd-371318.pdf,Switchcraft,RAPC712X,Mouser,502-RAPC712X,http://www.mouser.com/ProductDetail/Switchcraft/RAPC712X/?qs=%2fha2pyFaduiv7gT0zkJoWDDALrhvBCbfGdYVfdLqIXI%3d
1,BT2,JST,mysensors_connectors:s2b-ph-kl-kcswalter,http://www.farnell.com/datasheets/80564.pdf,JST,S2B-PH-K-S (LF)(SN),Missing,Missing,Missing
1,BT3,Generic,mysensors_connectors:TerminalBlock2.54mmx2-kcswalter,http://www.mouser.com/ds/2/418/NG_CD_282834_C1-665080.pdf,TE Connectivity,282834-2,Mouser,571-282834-2,http://www.mouser.se/ProductDetail/TE-Connectivity/282834-2/?qs=sGAEpiMZZMvZTcaMAxB2AJ%2f79sE4hFAYo1Yb6cyIxXA%3d
1,BT4,CR123,mysensors_connectors:CR123_holder,http://www.mouser.com/ds/2/215/051-743208.pdf,Keystone Electronics,1051,Mouser,534-1051,http://www.mouser.se/ProductDetail/Keystone-Electronics/1051/?Keystone-Electronics%2f1051%2f&Keystone-Electronics%2f1051%2f&qs=sGAEpiMZZMvEjrTWH%2f8WZ5YOpCuoa01R
1,BT5,24.5mm,mysensors_connectors:keystone_3009-kcswalter,http://www.mouser.com/ds/2/215/3039-285159.pdf,Keystone Electronics,3039,Mouser,534-3039,http://se.mouser.com/ProductDetail/Keystone-Electronics/3039/?qs=sGAEpiMZZMtT9MhkajLHrg1t4FKJFDRo6aSYuA6EkaQ%3d
1,C1,47uF,Capacitors_Tantalum_SMD:TantalC_SizeC_EIA-6032_HandSoldering,http://www.avx.com/docs/Catalogs/tps.pdf,AVX,TPSC476K016R0350,Mouser,581-TPSC476K016R0350,http://se.mouser.com/ProductDetail/AVX/TPSC476K016R0350/?qs=sGAEpiMZZMuEN2agSAc2pqveSFvydLQ7xWNXjpUWqVg%3d
5,C2 C10 C12 C13 C14,4.7uF,Capacitors_Tantalum_SMD:TantalC_SizeB_EIA-3528_HandSoldering,http://www.avx.com/docs/Catalogs/tps.pdf,AVX,TPSB475K025R0900,Mouser,581-TPSB475K025R0900,http://se.mouser.com/ProductDetail/AVX/TPSB475K025R0900/?qs=sGAEpiMZZMuEN2agSAc2pkIWJcW2hAciBvjiIg4pnBc%3d
2,C3 C4,10uF,Capacitors_Tantalum_SMD:TantalC_SizeA_EIA-3216_HandSoldering,http://www.mouser.com/ds/2/40/f93-221107.pdf,AVX,F931C106MAA,Mouser,647-F931C106MAA,http://www.mouser.se/ProductDetail/AVX/F931C106MAA/?qs=sGAEpiMZZMuEN2agSAc2puC4lhRhLeolmYomTIpwaLE%3d
2,C5 C6,10uF,Capacitors_SMD:C_1206_HandSoldering,http://www.mouser.com/ds/2/427/vjw1bcbascomseries-223529.pdf,Vishay / Vitramon,VJ1206V106ZXQTW1BC,Mouser,77-VJ1206V106ZXQTBC,http://se.mouser.com/Search/ProductDetail.aspx?R=VJ1206V106ZXQTW1BCvirtualkey61340000virtualkey77-VJ1206V106ZXQTBC
